level 1	level 2	level 3
Prince Charles is the eldest son of Queen Elizabeth II. He is 71 years old. He is the future King of the UK. Prince Charles is ill. He has the coronavirus. His illness is not very strong. He does not have other health problems. His wife, Camilla, is healthy. Charles and Camilla are in Scotland now. They stay in quarantine . It is not clear when Charles becomes ill. He meets a lot of people. In the UK, there are 11,600 cases of coronavirus. Almost 600 people die. It is not safe for the Queen to stay in London. The Queen is 93 years old. She is healthy. However, she leaves London. She stays at Windsor Castle. It is 19 miles from London.	Doctors diagnosed Prince Charles with the coronavirus. He has mild symptoms and apart from the coronavirus he is in good health. It is not clear when he became ill because he has attended many public events recently. Charles is 71 years old, and he is Queen Elizabeth II´s eldest son. He is the first in line to the British throne. His wife, Camilla, tested negative for the coronavirus, and the couple left for Scotland where they stay indoors, and they do not meet other people. In the UK, the coronavirus is spreading fast. The Queen, who last met with her son in the middle of March, moved out of London. The 93-year-old queen is healthy, and she is staying at Windsor Castle currently.	Prince Charles has been diagnosed with the coronavirus. Charles, who is 71 years old, is Queen Elizabeth II´s eldest son, and he is first in line to the British throne. A spokesperson for Buckingham Palace said that Charles has mild symptoms, and otherwise remains in good health. It is not clear when exactly Charles contracted the virus because he has carried out many public engagements recently. Charles´s wife, Camilla, the Duchess of Cornwall, tested negative for the coronavirus, and the couple is currently self-isolating in Scotland. The Queen is still healthy and has not seen her son since the middle of March. She temporarily moved to Windsor Castle outside of London while the coronavirus outbreak continues to spread.
A man from California has the longest tongue in the world. It measures 10.13 centimetres. That is almost four inches! His tongue can be useful . He can eat ice cream easily. When he meets someone new, they always want to see his tongue. He sticks his tounge out. This can be a little strange . The man says long tongues run in his family. His younger brother has a long tongue, too.	A man in California set the new record for the longest tongue in the world. His tongue measures 10.13 centimetres which is just under 4 inches. He says that it has its pros – licking lollipops and eating ice cream is easy. However, strangers find it a bit bizarre . When people introduce him to somebody new, the other person always says that the man has the longest tongue in the world. Everyone, of course, wants to see it. This can leave a strange impression . The man says that long tongues run in his family. His younger brother has a very long tongue, too.	Californian Nick Stoeberl can officially say that he has the longest tongue in the world, as his tongue is 10.13 centimetres long. He beat the former world record holder Stephen Taylor from the UK. Nick says that his tongue is useful for conventional activities such as licking lollipops, eating ice cream or getting pudding from the bottom of a cup. However, strangers find his tongue bizarre . He says that when he meets someone new, he is introduced as having the longest tongue in the world, so he feels like he has to stick it out at them. That leaves the strangers with a weird impression . Nick’s extraordinarily long tongue is one the most unusual new records to have made it into the 60th anniversary edition of the Guinness Book of World Records.
This news is about weather. The weather in Italy changes. It changes very quickly. It causes a hailstorm . Hailstones fall from the sky. They are five centimetres big. They are as big as ping-pong balls. The hailstones hit windows. The windows break. They hit some people and animals, too. Someone films the situation. A person films one video at sea. This person films close to Naples.	It looked like something out of a disaster movie. Hailstones the size of ping-pong balls pummelled Italy. A person filmed one video at sea around Naples. The hailstones broke windows, roofs and car windshields. They injured some people and animals, too. A sudden change of the jet stream caused the hailstorm. The jet stream is a very strong wind which is high above the ground.	It looks like something out of a world-ending disaster movie, but this was the scene on the water around Naples in Italy on Saturday as the area was pummelled by hailstones the size of ping-pong balls. The hailstones, which were well over five centimetres in diameter, came hurtling out of the sky, smashing windows, roof tiles and car windshields, as well as leaving several people and animals injured. According to meteorologists for weather.com, the storm was brought on by a vigorous southward plunge of a jet stream  carved  into Western Europe, sending a potent upper disturbance to the Italian peninsula on Saturday. That instability then charged up thunderstorms over the Mediterranean Sea which swept into Italy and caused the hailstones.
Parkour is a new sport. People also call it freerunning. Sebastian Foucan is the founder of the sport. You can see him in “Casino Royale”. It is a James Bond film. Parkour is running, jumping and climbing . It can look dangerous, but Foucan says that it is like other sports. He says that it is like rugby, wrestling or surfing. If you do not do it right, you can get hurt . The UK makes parkour an official sport. It is the first country to do this. People can teach official sports in schools.	Parkour is a new sport. It is also known as freerunning. Sebastian Foucan founded this sport. You can see his skills in the James Bond movie “Casino Royale”. Parkour is running, jumping over obstacles , or climbing over buildings and walls. It looks dangerous at times, but Foucan says that it is as safe as any sport. He compares it to rugby, wrestling, surfing or climbing – if you do not do the sport right, you can get hurt. Parkour is now an official sport in the UK. The UK is the first country in the world to recognise it. This means that people can teach parkour in schools.	Parkour, also known as freerunning, is a relatively new sport founded by Sebastian Foucan, who showed off his skills in the James Bond movie “Casino Royale”. Parkour is running, jumping over obstacles , or climbing over buildings and walls. It is daring , breathtaking and at times terrifying, and now it is also an official sport in the UK, making the UK the first country in the world to recognise it. This means that people can teach parkour in schools. Some people are worried about the sport being too dangerous, but the founder says that it is as safe as any sport, comparing to rugby, wrestling, surfing or climbing – if you do not do it in the right way, you can get hurt.
Asthma is a medical problem. It makes it hard for you to breathe . You have it all your life. Doctors cannot stop it. Scientists study traffic pollution and asthma. They find out that traffic pollution connects to asthma in children. Scientists learn this from 194 countries and 125 big cities. The study shows where most pollution is. People say that we need to make changes. We can change the rules for pollution. We can have cleaner transportation.	Asthma is a medical condition where you can have difficulty breathing. It is lifelong and doctors cannot stop it. A study says that traffic pollution is connecting to 4 million new cases of asthma in children every year. Scientists studied this in 194 countries and 125 large cities. Other studies also said this, but this study’s author says that this study is comprehensive . It tells where the most polluted areas in the world are. Some people think that we need to make new rules for pollution. We should also have cleaner transportation.	Asthma is a serious medical condition because it is lifelong; there is no cure. A study says that pollution from traffic connects to 4 million new cases of asthma in children each year. Researchers studied the pollution and how it affects children’s health in 194 countries and 125 large cities. This is not the first study to make this claim, but the study’s main author says that it gives a comprehensive idea of the problem. She says that it tells where pollution ‘hot spots’ are. Some people think that worldwide rules for pollution need to change. Another idea is to make it easier to have cleaner transportation. The author also said that there are other pollutants in the world causing diseases, such as lung cancer, strokes, heart disease, and developmental issues.
This story begins in India. A man wants to marry a girl. He is 32. She is 15. She says no. Ten months later, the man finds her. He pushes her to the floor. He puts acid on her. This is very bad for her. The acid badly injures her. She does not go out for four years. When she does, the girl feels bad. She feels like a victim . She does not want to feel like a victim. She wants to feel like a fighter. She knows that she must change things. She starts a charity. This charity helps women like her. Now, she is also feeling better. People are nicer to her, too.	Eleven years ago, a man proposed to a 15-year-old girl. She said no. Ten months later, he found her in her home town of Delhi. He pushed her to the floor and poured acid on her. It took the girl four years to be brave enough to go out in public. When she did, she did not want to feel like a victim . She wanted to feel like a fighter. She knew she needed to change how she looked at herself and how people looked at her. If she did not do something about it, nobody would. She started a charity to help acid attack victims. She says that people are more accepting , and that people like her feel less like victims and more like normal people.	Eleven years ago, then just 15-year-old Laxmi, had a proposal by her friend’s 32-year-old brother. She told him no. Ten months later, he found her at a famous market in her hometown of Delhi, pushed her to the floor and poured acid on her. It took Laxmi four years to be brave enough to go out in public, but when she did she said that she realised she didn’t want to feel like a victim. She wanted to feel like a fighter. She said that she needed to change the way that she perceived herself and how others perceived her, and that if she did not do something about it, nobody would. She founded a charity to support acid attack victims and that brought her to the UK to an event raising money to support vulnerable women. Laxmi was joined by a woman from England whose ex-boyfriend also attacked her with acid. The UK has seen the number of acid attacks taking place double in 10 years. Laxmi says that mind  shifts are happening and people are more accepting and that people like her feel less like victims and more like normal people.
A lorry drives into a department store in the centre of Stockholm. A t least two people die. Police look for the attacker. They send people away from the city centre and the main central station. The government wants to find out more. It also tells the public to be careful and to listen to the police. The attack comes after other terrorist attacks in France, Germany and the United Kingdom.	A lorry drove into a department store in the centre of Stockholm.  According to the police, there are at least two dead in this awful terrorist attack. Police evacuated the city centre and the main central station. They did not arrest anyone yet, but they are working on it. The Swedish Prime Minister said that the government is doing everything in its power to find out what happened. He also recommended that the public be careful and listen to police broadcasts . The attack came after other terrorist incidents in France, Germany and the United Kingdom.	A lorry drove into a department store in the centre of Stockholm. Someone hijacked the lorry before the attack. According to the police, there are at least two dead in this awful terrorist attack. Police evacuated the city centre and main central station. They have not arrested anyone yet, but they are working on it. The Swedish Prime Minister said that the government is doing everything in its power to find out what happened. He also advised the public to be careful and to listen to police broadcasts . The attack came after other terrorist incidents in France, Germany and the United Kingdom.
This news is about a backpack . It is a special type of a backpack. It has a little chair inside it. You can sit on the chair when you are tired. The backpack is called BAGOBAGO. It can hold a 130 kilogram person. It has 22 litres of storage . It is also waterproof .   The backpack is made in the Czech Republic. Many Czech people already use it. Now, people from other countries can buy it. If you like the backpack, you can tell your friends about it. You can send them this article!  The BAGOBAGO website is in 8 different languages. English – http://bagobago.com Russian – http://bagobago.ru French – http://bagobago.fr Spanish – http://es.bagobago.com Hungarian – http://bagobago.hu Italian – http://bagobago.it Czech – http://bagobago.cz Slovak –  http://bagobago.sk  	Do you ever get that feeling when your legs are tired but there is nothing to sit on? Well, with BAGOBAGO, you can sit anywhere! BAGOBAGO is a backpack with a built-in stool . It can hold a person who weighs up to 130 kilograms. The backpack features 22 litres of storage space and is waterproof as well.   In the Czech Republic, there are already thousands of people who use the backpack for waiting in lines, sitting at concerts and festivals, going on trips and being at work. The family who makes the backpack is now trying to make BAGOBAGO famous to the whole world. You can help the family by sharing this article or the video with your friends. Also, if you know a person who sells backpacks in your country, tell him or her about BAGOBAGO!  You can check out the BAGOBAGO website in these languages: English – http://bagobago.com Russian – http://bagobago.ru French – http://bagobago.fr Spanish – http://es.bagobago.com Hungarian – http://bagobago.hu Italian – http://bagobago.it Czech – http://bagobago.cz Slovak – http://bagobago.sk 	Can you recall the feeling when your legs are tired but there is nowhere to sit? What if you could simply sit down on your backpack? A father and his sons from the Czech Republic designed and patented a new backpack with an elegantly built-in stool that can help you relax wherever you are. With its modern design, it sits a person weighing up to 130 kg, features 22-litre storage and it is waterproof. The backpack is called BAGOBAGO.   In the Czech Republic, there are already thousands of people using the backpack for waiting in lines, sitting at concerts and festivals, going on trips and being at work. Now, the family is trying to make BAGOBAGO famous to the whole world.  Help the family by sharing this article or the video with your friends. Also, if you know someone who sells backpacks in your country, do not hesitate to let him or her know about BAGOBAGO.  The BAGOBAGO website is available in several languages listed below: English – http://bagobago.com Russian – http://bagobago.ru French – http://bagobago.fr Spanish – http://es.bagobago.com Hungarian – http://bagobago.hu Italian – http://bagobago.it Czech – http://bagobago.cz Slovak –  http://bagobago.sk  
In Italy, there is a city called Venice. It lies on many small islands. There are many canals and bridges. It can be dangerous when the sea level goes up. Last week, the water level rises very much. It damages many houses and shops. It is the highest water level in the last fifty years. On Sunday, more water comes and floods houses, restaurants and hotels again. Officials say that there is an emergency situation. They close the famous St. Mark´s Square. This situation does not stop some tourists. and they decide to tour the city. The mayor of Venice says that the damage is hundreds of millions of dollars.	Last week, the highest tide waters in a half century hit the Italian city of Venice. Water levels reached more than six feet, and they damaged many houses, shops, restaurants and hotels. On Sunday, water levels rose again to nearly five feet, and they flooded already wet shops and businesses. Officials declared  a state of emergency and closed the famous St. Mark´s Square. However, some tourists decided to tour the city in rubber boots and plastic garbage bags. The mayor of Venice said that the damage is hundreds of millions of dollars.	Last week, the Italian city of Venice was hit by the highest tide waters in a half century.  Water levels peaked at just over six feet and caused a lot of damage to homes and businesses. On Sunday, water levels peaked again at nearly five feet, and they flooded already soaked shops, restaurants and hotels. The famous St. Mark´s Square was closed due to the rising waters. However, they did not stop some tourists from exploring the streets in rubber boots and plastic garbage bags. Officials declared a state of emergency in the area, and the mayor of Venice said that the floods caused damage worth hundreds of millions of dollars.
A supermarket chain drops the price of a popular food. The food is called Nutella. It is a chocolate spread. Nutella gets 70% cheaper. A jar of it goes from 4.50 Euros to 1.41 Euros. This makes some French people nuts . They fight in the stores . Police have to come stop them.	A supermarket chain dropped the price of Nutella by 70%. A 950-gramme jar’s price dropped from 4.50 Euros to 1.41 Euros. Nutella is a popular chocolate spread and the drop in price made some French people nuts . Police had to come break up fights over the product in supermarkets. The maker of Nutella said that it was the supermarket chain that decided to drop the price.	The supermarket chain called Intermarche dropped the price of Nutella by 70%; a 950-gramme jar’s price dropped from 4.50 Euros to 1.41 Euros. Nutella is a popular chocolate spread and the price drop made some people nuts in France. There were brawls in the supermarkets and police had to come to some stores to stop the fighting. The producer of Nutella, Ferrero, said that the decision to drop the price was unilaterally decided by Intermarche.
